trade_date,entry_time,tcp_id,exchange_ticker,side,qty,entry_price,close_entry,is_balancing
2024-12-24,15:16:00,10500001,NIFTY,Short,1350.0,23731.2,23731.2,True
2024-12-24,15:16:00,10100187,BIOCON,Long,2500.0,342.35,342.35,
2024-12-24,15:16:00,10101282,TATACHEM,Long,550.0,1068.0,1068.0,
2024-12-24,15:16:00,10101347,TVSMOTOR,Long,350.0,2427.8,2427.8,
2024-12-24,15:16:00,10100174,BHARATFORG,Long,500.0,1325.25,1325.25,
2024-12-24,15:16:00,10102907,ZOMATO,Long,2000.0,275.05,275.05,
2024-12-24,15:16:00,10102072,ICICIPRULI,Long,750.0,661.95,661.95,
2024-12-24,15:16:00,10103018,PAYTM,Long,650.0,983.75,983.75,
2024-12-24,15:16:00,10100676,JUBLFOOD,Long,1250.0,703.85,703.85,
2024-12-24,15:16:00,10103006,NYKAA,Long,2950.0,162.0,162.0,
2024-12-24,15:16:00,10101289,TATAMOTORS,Long,550.0,736.25,736.25,
2024-12-24,15:16:00,10100469,GRANULES,Long,1000.0,595.75,595.75,
2024-12-24,15:16:00,10100788,POONAWALLA,Long,1450.0,321.8,321.8,
2024-12-24,15:16:00,10100408,GAIL,Long,2350.0,198.03,198.03,
2024-12-24,15:16:00,10100019,ADANIENT,Long,300.0,2370.35,2370.35,
2024-12-24,15:16:00,10101562,LTF,Long,4462.0,138.48,138.48,
2024-12-24,15:16:00,10100204,BPCL,Long,1800.0,291.9,291.9,
2024-12-24,15:16:00,10100209,BRITANNIA,Long,100.0,4738.25,4738.25,
2024-12-24,15:16:00,10100625,ITC,Long,1600.0,478.5,478.5,
2024-12-24,15:16:00,10101897,SYNGENE,Long,1000.0,845.2,845.2,
2024-12-24,15:16:00,10102893,SONACOMS,Long,775.0,595.5,595.5,
2024-12-24,15:16:00,10100006,AARTIIND,Long,1000.0,415.5,415.5,
2024-12-24,15:16:00,10102059,RBLBANK,Long,2500.0,163.25,163.25,
2024-12-24,15:16:00,10101931,INDIGO,Long,150.0,4615.0,4615.0,
2024-12-24,15:16:00,10100528,HINDCOPPER,Long,2650.0,280.65,280.65,
2024-12-24,15:16:00,10102372,BANDHANBNK,Long,2800.0,166.45,166.45,
2024-12-24,15:16:00,10102532,KPITTECH,Long,400.0,1433.5,1433.5,
2024-12-24,15:16:00,10100850,MOTHERSON,Long,3550.0,157.12,157.12,
2024-12-24,15:16:00,10100825,UNITDSPR,Long,350.0,1566.5,1566.5,
2024-12-24,15:16:00,10100102,ASHOKLEY,Long,2500.0,219.82,219.82,
2024-12-24,15:16:00,10100251,CIPLA,Long,325.0,1476.4,1476.4,
2024-12-24,15:16:00,10101930,IDFCFIRSTB,Long,7500.0,62.17,62.17,
2024-12-24,15:16:00,10100389,FEDERALBNK,Long,5000.0,196.39,196.39,
2024-12-24,15:16:00,10100503,HAVELLS,Long,500.0,1676.7,1676.7,
2024-12-24,15:16:00,10100278,CUMMINSIND,Long,150.0,3378.05,3378.05,
2024-12-24,15:16:00,10100738,BSOFT,Long,1000.0,580.1,580.1,
2024-12-24,15:16:00,10102273,IEX,Long,3750.0,177.06,177.06,
2024-12-24,15:16:00,10102289,HDFCLIFE,Long,1100.0,622.15,622.15,
2024-12-24,15:16:00,10101284,TATACOMM,Long,250.0,1720.95,1720.95,
2024-12-24,15:16:00,10100672,JSL,Long,775.0,730.7,730.7,
2024-12-24,15:16:00,10102108,LAURUSLABS,Long,1700.0,567.35,567.35,
2024-12-24,15:16:00,10100729,KOTAKBANK,Long,400.0,1750.0,1750.0,
2024-12-24,15:16:00,10100779,LUPIN,Long,425.0,2168.95,2168.95,
2024-12-24,15:16:00,10102748,CAMS,Long,125.0,4926.9,4926.9,
2024-12-24,15:16:00,10100932,OBEROIRLTY,Long,350.0,2289.55,2289.55,
2024-12-24,15:16:00,10100248,CHOLAFIN,Long,625.0,1184.2,1184.2,
2024-12-24,15:16:00,10100582,INDHOTEL,Long,1000.0,861.35,861.35,
2024-12-24,15:16:00,10102093,VBL,Long,875.0,627.5,627.5,
2024-12-24,15:16:00,10101286,TATACONSUM,Long,456.0,907.55,907.55,
2024-12-24,15:16:00,10102747,ANGELONE,Long,200.0,2899.05,2899.05,
2024-12-24,15:16:00,10101331,TRENT,Long,100.0,7012.75,7012.75,
2024-12-24,15:16:00,10100120,AUROPHARMA,Long,550.0,1262.1,1262.1,
2024-12-24,15:16:00,10101490,HFCL,Long,4150.0,114.36,114.36,
2024-12-24,15:16:00,10100885,NAUKRI,Long,75.0,8667.5,8667.5,
